# Ensemble Averaged Rg data from last 20% of runs
# Tau Activity Average_Rg
0.1 0 18.987138
0.1 8 18.716763
0.1 16 15.193283
0.1 32 12.695238
0.1 48 11.681796
0.1 64 10.953164
0.1 72 10.677143
0.1 80 10.664977
0.1 88 10.542907
0.1 96 10.515627
0.1 104 10.470378
1 0 18.813656
1 8 15.832952
1 16 13.602502
1 32 11.168081
1 48 10.527374
1 64 10.630109
1 72 10.755057
1 80 10.751685
1 88 10.913925
1 96 10.960695
1 104 11.050405
4 0 18.650879
4 8 12.643853
4 16 11.244221
4 32 11.469949
4 48 12.149726
4 64 13.072329
4 72 13.594058
4 80 14.053158
4 88 14.708215
4 96 15.249538
4 104 15.583529
7 0 18.878770
7 8 12.142636
7 16 11.400192
7 32 12.398476
7 48 13.707992
7 64 15.093482
7 72 15.848551
7 80 16.600290
7 88 17.060520
7 96 17.155380
7 104 17.279599
10 0 19.191932
10 8 12.010537
10 16 11.721930
10 32 13.417626
10 48 14.869848
10 64 16.419364
10 72 17.342834
10 80 17.779944
10 88 17.912187
10 96 17.914159
10 104 17.765079
13 0 19.292896
13 8 11.965724
13 16 12.194388
13 32 14.066456
13 48 15.651914
13 64 17.464452
13 72 18.237987
13 80 18.479600
13 88 18.427297
13 96 18.263406
13 104 18.215133
19 0 18.642273
19 8 11.895292
19 16 13.106033
19 32 15.113456
19 48 16.634134
19 64 18.822966
19 72 19.184410
19 80 19.083097
19 88 18.869610
19 96 18.471377
19 104 18.237390
