# Tau Act n Variance
# (n=0 represents var_a0_sq)
0.1 80 11 0.058124782385042595
0.1 80 12 0.05066258689235351
0.1 80 13 0.04398841369697171
0.1 80 14 0.038404763907536076
0.1 80 15 0.033314330574142056
0.1 80 16 0.029292534669264503
0.1 80 17 0.02563723651735929
0.1 80 18 0.022891099097875497
0.1 80 19 0.020237676997167338
0.1 80 20 0.018029051729734992
0.1 80 21 0.01583826002703488
0.1 80 22 0.014172397535786713
0.1 80 23 0.012701272675472119
0.1 80 24 0.011406423504463144
0.1 80 25 0.010232748679694176
0.1 80 26 0.009205557352602997
0.1 80 27 0.00830954851714503
0.1 80 28 0.007492272985470857
0.1 80 29 0.006800413474849489
0.1 80 30 0.006090268281585806
0.1 80 31 0.00561729607849376
0.1 80 32 0.00504459084583965
0.1 80 33 0.004644925554700255
0.1 80 34 0.004269373743651536
0.1 80 35 0.00392808391753202
0.1 80 36 0.0036123871248219938
0.1 80 37 0.0033562397442584496
0.1 80 38 0.0031293807196883998
0.1 80 39 0.002920886350058067
0.1 80 40 0.002715869945926189
0.1 80 41 0.0025463771141125955
0.1 80 42 0.0023973596285947166
0.1 80 43 0.0022425808177322917
0.1 80 44 0.0021502907317072183
0.1 80 45 0.002017199150770643
0.1 80 46 0.0019288024688557612
0.1 80 47 0.001849582984692391
0.1 80 48 0.0017495920108548191
0.1 80 49 0.001686062158802131
0.1 80 50 0.001629235326104665
0.1 80 51 0.0015883790928003802
0.1 80 52 0.001526930708939679
0.1 80 53 0.001489925051350313
0.1 80 54 0.0014546285535573856
0.1 80 55 0.0014283465683599366
0.1 80 56 0.001414888395349766
0.1 80 57 0.0013933602424426388
0.1 80 58 0.0013751560457343685
0.1 80 59 0.0013523715619093981
0.1 80 60 0.00134544531688628
0.1 80 61 0.001330965245923814
0.1 80 62 0.0012916631981282284
0.1 80 63 3.1238578166513116e-30
0.1 88 0 0.19066891713182713
0.1 88 1 0.31323752449126263
0.1 88 2 0.2840944443766361
0.1 88 3 0.23150156649242523
0.1 88 4 0.1898548077564158
0.1 88 5 0.1571491632225656
0.1 88 6 0.13172808939270994
0.1 88 7 0.11110363306390994
0.1 88 8 0.09425448430969983
0.1 88 9 0.08095977624225073
0.1 88 10 0.06966663754358052
0.1 88 11 0.059577817658428754
0.1 88 12 0.052250751899180506
0.1 88 13 0.04547342980295438
0.1 88 14 0.03951829113875831
0.1 88 15 0.034898362164621013
0.1 88 16 0.030738888266794384
0.1 88 17 0.027056186466696653
0.1 88 18 0.023992475665399027
0.1 88 19 0.02129947861094079
0.1 88 20 0.019003038069902594
0.1 88 21 0.016894893790667637
0.1 88 22 0.015195566252075193
0.1 88 23 0.013503022175478012
0.1 88 24 0.012155433897077397
0.1 88 25 0.010990523236755683
0.1 88 26 0.009823363475634984
0.1 88 27 0.008943173072164919
0.1 88 28 0.008061904238533434
0.1 88 29 0.007316732335457967
0.1 88 30 0.00670358666298706
0.1 88 31 0.006113286771601049
0.1 88 32 0.0055584123049664145
0.1 88 33 0.005060206079548834
0.1 88 34 0.004687526166634802
0.1 88 35 0.004300680195141855
0.1 88 36 0.00398051624419574
0.1 88 37 0.003666253625643254
0.1 88 38 0.0034343578719187536
0.1 88 39 0.003196673441514005
0.1 88 40 0.0029760589683203273
0.1 88 41 0.0028169783397661817
0.1 88 42 0.002621070535744951
0.1 88 43 0.0024831830392549937
0.1 88 44 0.0023502519429906433
0.1 88 45 0.0022423093066129183
0.1 88 46 0.002134360177333422
0.1 88 47 0.0020485096370038993
0.1 88 48 0.0019491717379926197
0.1 88 49 0.0018859802055506455
0.1 88 50 0.0018193849173991042
0.1 88 51 0.0017550720800516566
0.1 88 52 0.0017063688804164335
0.1 88 53 0.0016661923507722935
0.1 88 54 0.0016169588955378023
0.1 88 55 0.001587485675666394
0.1 88 56 0.0015551079922776242
0.1 88 57 0.0015293212340776457
0.1 88 58 0.0015091633247851992
0.1 88 59 0.0014968996986450098
0.1 88 60 0.0014981609795947845
0.1 88 61 0.0014657084271143214
0.1 88 62 0.0014531375058036377
0.1 88 63 3.191555963804137e-30
0.1 96 0 0.18836021108408532
0.1 96 1 0.30622169687905076
0.1 96 2 0.287081564424818
0.1 96 3 0.23236838888834777
0.1 96 4 0.18842201698848668
0.1 96 5 0.15759768528799956
0.1 96 6 0.13214635392531893
0.1 96 7 0.11167060926851467
0.1 96 8 0.09547560532502869
0.1 96 9 0.08176407772866746
0.1 96 10 0.07033936357964617
0.1 96 11 0.0610529557037648
0.1 96 12 0.05272866064899821
0.1 96 13 0.046248779876767905
0.1 96 14 0.040629976251193134
0.1 96 15 0.03602423163948233
0.1 96 16 0.0317725933647933
0.1 96 17 0.02798917126549335
0.1 96 18 0.024956977380790158
0.1 96 19 0.022131542966783397
0.1 96 20 0.01975948072659431
0.1 96 21 0.017665299708562954
0.1 96 22 0.015974354129454343
0.1 96 23 0.014275251404428382
0.1 96 24 0.01276598113664795
0.1 96 25 0.011543731441560014
0.1 96 26 0.0105318343534527
0.1 96 27 0.009464823452000252
0.1 96 28 0.008600042285878576
0.1 96 29 0.0077602127774113495
0.1 96 30 0.007107031368561372
0.1 96 31 0.006492563818998163
0.1 96 32 0.00593756700669237
0.1 96 33 0.0054330020902205265
0.1 96 34 0.004985843400046356
0.1 96 35 0.004661040028676685
0.1 96 36 0.0043237187823069075
0.1 96 37 0.003977064391916976
0.1 96 38 0.0036915957609043462
0.1 96 39 0.003452982903700717
0.1 96 40 0.0032297512234434806
0.1 96 41 0.0030288670616918745
0.1 96 42 0.0028651734683910134
0.1 96 43 0.0027220924300251
0.1 96 44 0.002576434810831923
0.1 96 45 0.0024411211615479305
0.1 96 46 0.002319261736013292
0.1 96 47 0.0022189879355043523
0.1 96 48 0.0021375399488710338
0.1 96 49 0.002060919351177507
0.1 96 50 0.0019807147125848763
0.1 96 51 0.0019491697549229906
0.1 96 52 0.0018675987735233396
0.1 96 53 0.0018111812802404498
0.1 96 54 0.0017814657044322424
0.1 96 55 0.001745547008875299
0.1 96 56 0.0017131258464947346
0.1 96 57 0.0016854815526986644
0.1 96 58 0.0016657067790421646
0.1 96 59 0.0016430309136098412
0.1 96 60 0.0016302352986128916
0.1 96 61 0.001614490089203304
0.1 96 62 0.001577362305449843
0.1 96 63 3.267606921543525e-30
0.1 104 0 0.19286528025600252
0.1 104 1 0.30207040613183345
0.1 104 2 0.28282722040507824
0.1 104 3 0.23104327171904868
0.1 104 4 0.18960766804577234
0.1 104 5 0.1580437664951428
0.1 104 6 0.13254087479172344
0.1 104 7 0.11205091057177896
0.1 104 8 0.09537649609326357
0.1 104 9 0.08229465493219329
0.1 104 10 0.07090705728913564
0.1 104 11 0.061945813563822665
0.1 104 12 0.05358677483691494
0.1 104 13 0.0470547842161696
0.1 104 14 0.04168734853316256
0.1 104 15 0.036533321664666274
0.1 104 16 0.03213957137077608
0.1 104 17 0.02853619843796001
0.1 104 18 0.0254368886258445
0.1 104 19 0.022821971062573238
0.1 104 20 0.020424905516674415
0.1 104 21 0.01826802103913669
0.1 104 22 0.016264741953907664
0.1 104 23 0.014646177306701461
0.1 104 24 0.013411742671311302
0.1 104 25 0.011956632611235701
0.1 104 26 0.010840057583935298
0.1 104 27 0.009842476396877572
0.1 104 28 0.009014814303272833
0.1 104 29 0.00817511404435038
0.1 104 30 0.0074055858856802706
0.1 104 31 0.006738847269463965
0.1 104 32 0.006204369083996561
0.1 104 33 0.005751134536063807
0.1 104 34 0.005274861651060448
0.1 104 35 0.00488852300581788
0.1 104 36 0.0045486807106719165
0.1 104 37 0.004198114472009394
0.1 104 38 0.003907432050979717
0.1 104 39 0.0036733907828458124
0.1 104 40 0.0034035035431638286
0.1 104 41 0.003247221326193021
0.1 104 42 0.0030470914398517293
0.1 104 43 0.0028672239447006145
0.1 104 44 0.0027281371596577213
0.1 104 45 0.002587396757997897
0.1 104 46 0.0024679697982930224
0.1 104 47 0.0023785113909438756
0.1 104 48 0.0022936633213294895
0.1 104 49 0.002203153245010868
0.1 104 50 0.0021210138935069773
0.1 104 51 0.002042520812989354
0.1 104 52 0.0019928159140637242
0.1 104 53 0.0019453921152586952
0.1 104 54 0.0019243441341412306
0.1 104 55 0.001875080231956032
0.1 104 56 0.0018392847510491303
0.1 104 57 0.0018219983426215102
0.1 104 58 0.0017753998020633393
0.1 104 59 0.0017714883658741232
0.1 104 60 0.001747062316441009
0.1 104 61 0.0017398076997623575
0.1 104 62 0.0016922145567052902
0.1 104 63 3.303146586101603e-30
1 0 0 0.9105963067769328
1 0 1 0.37905921836207973
1 0 2 0.12364904855263474
1 0 3 0.05411435093617187
1 0 4 0.03145095450630216
1 0 5 0.0201622042069101
1 0 6 0.014273777157240647
1 0 7 0.010597419213478669
1 0 8 0.008039962843295296
1 0 9 0.006442285409164495
1 0 10 0.005242393264676119
1 0 11 0.004367913331343188
1 0 12 0.003670338754602193
1 0 13 0.0031391139456145283
1 0 14 0.0027269397296243356
1 0 15 0.0023885951498762367
1 0 16 0.002125695801475352
1 0 17 0.001897457435039552
1 0 18 0.0017050007905751205
1 0 19 0.001550368441785125
1 0 20 0.001416524219839106
1 0 21 0.001284022411435195
1 0 22 0.0011905270151222158
1 0 23 0.001096132449623853
1 0 24 0.0010202511419939936
1 0 25 0.0009459380562221085
1 0 26 0.0008892166550594769
1 0 27 0.0008395564712541637
1 0 28 0.0007859905880532286
1 0 29 0.0007481405522458713
1 0 30 0.0007032494941386711
1 0 31 0.0006605885973018661
1 0 32 0.0006320299537831621
1 0 33 0.0006082680491574467
1 0 34 0.0005776029473545074
1 0 35 0.000560031375181813
1 0 36 0.000539504888922167
1 0 37 0.0005155771546119073
1 0 38 0.0004970627178452514
