# Bond length fluctuation mode variances (taking last 30% of steps)
# Tau Act p Variance
0.1 80 6 5.355884540219266e-05
0.1 80 7 4.688551741607808e-05
0.1 80 8 4.398418046423608e-05
0.1 80 9 4.055465571646625e-05
0.1 80 10 3.823754483790788e-05
0.1 80 11 3.675456262939533e-05
0.1 80 12 3.5105653805509545e-05
0.1 80 13 3.417806902223804e-05
0.1 80 14 3.371479805610154e-05
0.1 80 15 3.292483325877972e-05
0.1 80 16 3.191891493949417e-05
0.1 80 17 3.168442576643517e-05
0.1 80 18 3.192971741180966e-05
0.1 80 19 3.092949049882755e-05
0.1 80 20 3.079805968446703e-05
0.1 80 21 3.0452823771448762e-05
0.1 80 22 3.0197430051776114e-05
0.1 80 23 2.9952562635044248e-05
0.1 80 24 3.021127885729552e-05
0.1 80 25 2.9750712141443693e-05
0.1 80 26 2.9145276674212085e-05
0.1 80 27 2.9330250907270294e-05
0.1 80 28 2.8517678877843018e-05
0.1 80 29 2.8126288608163912e-05
0.1 80 30 2.7771425808925147e-05
0.1 80 31 2.756183312798819e-05
0.1 80 32 2.769585837193992e-05
0.1 80 33 2.6921831807640638e-05
0.1 80 34 2.6871729960548672e-05
0.1 80 35 2.7084979342735577e-05
0.1 80 36 2.6405932168994523e-05
0.1 80 37 2.6325501960818417e-05
0.1 80 38 2.60876465248873e-05
0.1 80 39 2.5863129058018364e-05
0.1 80 40 2.5229706143086226e-05
0.1 80 41 2.5293541021049067e-05
0.1 80 42 2.5095611499238916e-05
0.1 80 43 2.5295081759760282e-05
0.1 80 44 2.4742764216950906e-05
0.1 80 45 2.4527658498496397e-05
0.1 80 46 2.4852569101355005e-05
0.1 80 47 2.4172266817319553e-05
0.1 80 48 2.436574935652101e-05
0.1 80 49 2.4466174151694665e-05
0.1 80 50 2.4376574782790413e-05
0.1 80 51 2.405471866893233e-05
0.1 80 52 2.4002630823010214e-05
0.1 80 53 2.3834070090274722e-05
0.1 80 54 2.40621672601743e-05
0.1 80 55 2.4037725066939066e-05
0.1 80 56 2.3635131885536265e-05
0.1 80 57 2.3688531149740385e-05
0.1 80 58 2.4201094729631404e-05
0.1 80 59 2.39271897563846e-05
0.1 80 60 2.372993461583608e-05
0.1 80 61 2.369851191902312e-05
0.1 80 62 2.341130667386654e-05
0.1 80 63 3.51190102855944e-33
0.1 88 0 0.0003841715564645409
0.1 88 1 0.0001338121656373274
0.1 88 2 0.00012842583086345336
0.1 88 3 0.00010725958037679534
0.1 88 4 8.87486856076215e-05
0.1 88 5 7.443715438007129e-05
0.1 88 6 6.400967669534065e-05
0.1 88 7 5.6470435169496324e-05
0.1 88 8 5.1611554512028604e-05
0.1 88 9 4.8000353985231645e-05
0.1 88 10 4.4903237418519727e-05
0.1 88 11 4.3251800430940383e-05
0.1 88 12 4.066559745795399e-05
0.1 88 13 3.98877449533509e-05
0.1 88 14 3.877613193576663e-05
0.1 88 15 3.8687997645676375e-05
0.1 88 16 3.739615770383385e-05
0.1 88 17 3.739529585717335e-05
0.1 88 18 3.70882719227073e-05
0.1 88 19 3.6216858648198957e-05
0.1 88 20 3.5412385477304366e-05
0.1 88 21 3.508027464349161e-05
0.1 88 22 3.484695657292902e-05
0.1 88 23 3.495228978367958e-05
0.1 88 24 3.425857874049871e-05
0.1 88 25 3.3264237680326015e-05
0.1 88 26 3.320183877753681e-05
0.1 88 27 3.258919317912154e-05
0.1 88 28 3.301270700963012e-05
0.1 88 29 3.256466250256563e-05
0.1 88 30 3.22137330638917e-05
0.1 88 31 3.1968895216096426e-05
