f_a,tau,A,C,D,E
72.0,13.0,0.5622808000958871,3.9222530568038247,7.3414189504875935,0.006149373056299905
80.0,13.0,0.5622808000958871,4.430719151713436,8.342333312896677,0.005332586152462731
88.0,13.0,0.5622808000958871,4.922788713627355,9.244715224118629,0.004457881210381032
96.0,13.0,0.5622808000958871,5.617534762617907,10.20913966399608,0.003815675105664099
104.0,13.0,0.5622808000958871,6.2814334420159375,11.130581033823939,0.0033534415813652294
0.0,19.0,0.5574542424113663,0.4169193929645104,0.0,0.0
8.0,19.0,0.5574542424113663,5.621311583787567,6.590714851881238,0.0063936104884105924
16.0,19.0,0.5574542424113663,4.925778824586002,6.010533400875659,0.006887274916697593
32.0,19.0,0.5574542424113663,4.093729600687632,5.8435914480386355,0.009499888365477356
48.0,19.0,0.5574542424113663,3.781381976132063,6.373906787289552,0.009276580391046677
64.0,19.0,0.5574542424113663,4.10248808125485,7.562188425305975,0.008476115839420298
72.0,19.0,0.5574542424113663,4.471090692518647,8.51369747864902,0.007241429479502126
80.0,19.0,0.5574542424113663,4.837383089256733,9.340005760429401,0.005736518878912237
88.0,19.0,0.5574542424113663,5.376026953573067,10.193832963681748,0.004595362805351662
96.0,19.0,0.5574542424113663,5.914312466206833,11.118603808583345,0.003863201090828976
104.0,19.0,0.5574542424113663,6.517168723051161,11.922857323519876,0.0033123750235027746
