# Ensemble Averaged Bond Length data from last 20% of runs
# Tau Activity Average_BondLength
0.1 0 1.122859
0.1 8 1.122759
0.1 16 1.122619
0.1 32 1.122607
0.1 48 1.123235
0.1 64 1.124881
0.1 72 1.126380
0.1 80 1.128004
0.1 88 1.130006
0.1 96 1.132480
0.1 104 1.135274
1 0 1.122828
1 8 1.122699
1 16 1.122660
1 32 1.124027
1 48 1.128691
1 64 1.137139
1 72 1.143355
1 80 1.150130
1 88 1.158318
1 96 1.166778
1 104 1.176900
4 0 1.122846
4 8 1.122810
4 16 1.124627
4 32 1.139987
4 48 1.170449
4 64 1.213942
4 72 1.240209
4 80 1.270150
4 88 1.302492
4 96 1.338537
4 104 1.371630
7 0 1.122811
7 8 1.123125
7 16 1.128523
7 32 1.158692
7 48 1.210446
7 64 1.278268
7 72 1.320173
7 80 1.365725
7 88 1.403987
7 96 1.433071
7 104 1.451821
10 0 1.122826
10 8 1.123789
10 16 1.132779
10 32 1.176203
10 48 1.241219
10 64 1.328202
10 72 1.379580
10 80 1.422412
10 88 1.450639
10 96 1.471484
10 104 1.482683
13 0 1.122802
13 8 1.124708
13 16 1.137129
13 32 1.189766
13 48 1.265530
13 64 1.368212
13 72 1.419348
13 80 1.452426
13 88 1.472447
13 96 1.489067
13 104 1.501254
19 0 1.122836
19 8 1.126492
19 16 1.144928
19 32 1.211146
19 48 1.302303
19 64 1.417944
19 72 1.460094
19 80 1.481655
19 88 1.497233
19 96 1.508461
19 104 1.518068
