# Ensemble Averaged Rg data from last 20% of runs
# Tau Activity Average_Rg
0.1 0 20.504994
0.1 8 20.275580
0.1 16 19.888584
0.1 32 18.038415
0.1 48 15.357480
0.1 64 13.538355
0.1 72 13.266877
0.1 80 12.968719
0.1 88 12.539866
0.1 96 12.241527
0.1 104 11.971548
1 0 20.461248
1 8 20.154072
1 16 18.840479
1 32 14.862870
1 48 12.777035
1 64 11.991169
1 72 11.772526
1 80 11.667572
1 88 11.662305
1 96 11.565885
1 104 11.694799
4 0 20.486852
4 8 18.326392
4 16 14.161648
4 32 12.391611
4 48 12.723190
4 64 13.361378
4 72 13.783997
4 80 14.365346
4 88 14.815436
4 96 15.323869
4 104 15.793398
7 0 20.473561
7 8 16.155953
7 16 13.285822
7 32 13.021670
7 48 14.039479
7 64 15.313534
7 72 16.000716
7 80 16.673002
7 88 17.098918
7 96 17.275060
7 104 17.322523
10 0 20.497073
10 8 14.988618
10 16 13.126287
10 32 13.882413
10 48 15.005854
10 64 16.607045
10 72 17.428729
10 80 17.931954
10 88 18.074060
10 96 18.093186
10 104 17.840147
13 0 20.492768
13 8 14.624878
13 16 13.314749
13 32 14.354913
13 48 15.812887
13 64 17.605766
13 72 18.395330
13 80 18.495431
13 88 18.411164
13 96 18.337227
13 104 18.208688
19 0 20.495238
19 8 13.881654
19 16 13.826469
19 32 15.280922
19 48 16.847825
19 64 18.896068
19 72 19.360960
19 80 19.017555
19 88 18.864089
19 96 18.584257
19 104 18.227510
