# Tau Act n Variance
# (n=0 represents var_a0_sq)
0.1 0 0 1.2147658914046602e+00
0.1 0 1 5.3392060611368503e-02
0.1 0 2 1.4216426125935801e-02
0.1 0 3 6.7110944374765003e-03
0.1 0 4 3.9914975657962997e-03
0.1 0 5 2.5485168652953998e-03
0.1 0 6 1.7900578598852000e-03
0.1 0 7 1.3151070777798000e-03
0.1 0 8 1.0236475392578000e-03
0.1 0 9 8.0026210554259999e-04
0.1 0 10 6.4381278657730005e-04
0.1 0 11 5.3815965811270005e-04
0.1 0 12 4.7294487362990002e-04
0.1 0 13 4.0168700485309998e-04
0.1 0 14 3.5387145108929999e-04
0.1 0 15 3.0967947264960000e-04
0.1 0 16 2.6879930841129998e-04
0.1 0 17 2.5030665291579998e-04
0.1 0 18 2.2172974494180000e-04
0.1 0 19 2.0187462897209999e-04
0.1 0 20 1.8598122206620000e-04
0.1 0 21 1.7500078035839999e-04
0.1 0 22 1.6106321696369999e-04
0.1 0 23 1.4892029755379999e-04
0.1 0 24 1.4053376813019999e-04
0.1 0 25 1.3132017908050000e-04
0.1 0 26 1.2458538224840001e-04
0.1 0 27 1.1542946068270000e-04
0.1 0 28 1.1104207774010000e-04
0.1 0 29 1.0403280696460000e-04
0.1 0 30 1.0003516561849999e-04
0.1 0 31 9.6222654440222962e-05
0.1 0 32 9.4198881470545002e-05
0.1 0 33 9.0353869502188857e-05
0.1 0 34 8.6718275105387315e-05
0.1 0 35 8.1530046555872357e-05
0.1 0 36 8.0003882453614426e-05
0.1 0 37 7.7548796509302494e-05
0.1 0 38 7.4288037135214463e-05
0.1 0 39 7.3245314370252928e-05
0.1 0 40 7.1669111001967649e-05
0.1 0 41 6.9694138779521431e-05
0.1 0 42 6.7630210475753201e-05
0.1 0 43 6.7195888007369226e-05
0.1 0 44 6.6076696002290017e-05
0.1 0 45 6.4469857438192898e-05
0.1 0 46 6.2963960347097296e-05
0.1 0 47 6.2287009192233693e-05
0.1 0 48 6.1376632379382884e-05
0.1 0 49 6.0171991463386607e-05
0.1 0 50 5.9363148571034321e-05
0.1 0 51 5.8653233367270531e-05
0.1 0 52 5.8152785978607348e-05
0.1 0 53 5.7753390229180357e-05
0.1 0 54 5.7241151966802121e-05
0.1 0 55 5.6554340238160251e-05
0.1 0 56 5.6025898596087391e-05
0.1 0 57 5.5944753125766183e-05
0.1 0 58 5.6486640171991089e-05
0.1 0 59 5.6531585325931127e-05
0.1 0 60 5.5732749753438426e-05
0.1 0 61 5.5619905603773792e-05
0.1 0 62 5.4750595833121329e-05
0.1 0 63 3.2447094550252244e-30
0.1 8 0 1.1669984220245486e+00
0.1 8 1 1.2922766202465219e-01
0.1 8 2 2.6844386064285401e-02
0.1 8 3 1.0147981334844699e-02
0.1 8 4 5.5115384421057997e-03
0.1 8 5 3.2537853057900000e-03
0.1 8 6 2.1442870073035999e-03
0.1 8 7 1.5169467011992999e-03
0.1 8 8 1.1427311133882000e-03
0.1 8 9 8.7927898028350004e-04
0.1 8 10 7.0868836080880001e-04
0.1 8 11 5.8950510234069998e-04
0.1 8 12 4.9419219473680000e-04
0.1 8 13 4.2248773281290002e-04
0.1 8 14 3.6499224145790003e-04
0.1 8 15 3.1044578261459998e-04
0.1 8 16 2.8101565239470002e-04
0.1 8 17 2.5553113861110000e-04
