# Ensemble Averaged Bond Length data from last 20% of runs
# Tau Activity Average_BondLength
0.1 0 1.122843
0.1 8 1.122761
0.1 16 1.122710
0.1 32 1.122802
0.1 48 1.123765
0.1 64 1.126001
0.1 72 1.127552
0.1 80 1.129650
0.1 88 1.132120
0.1 96 1.134684
0.1 104 1.137422
1 0 1.122791
1 8 1.122760
1 16 1.122778
1 32 1.124648
1 48 1.130072
1 64 1.139699
1 72 1.145634
1 80 1.152941
1 88 1.161105
1 96 1.170239
1 104 1.180317
4 0 1.122886
4 8 1.122870
4 16 1.125424
4 32 1.142153
4 48 1.172197
4 64 1.216486
4 72 1.243188
4 80 1.271715
4 88 1.306021
4 96 1.340861
4 104 1.374499
7 0 1.122802
7 8 1.123438
7 16 1.129803
7 32 1.160567
7 48 1.212637
7 64 1.280257
7 72 1.322513
7 80 1.368498
7 88 1.407977
7 96 1.435316
7 104 1.455153
10 0 1.122827
10 8 1.124334
10 16 1.134212
10 32 1.177236
10 48 1.242455
10 64 1.330835
10 72 1.382466
10 80 1.424689
10 88 1.453401
10 96 1.471462
10 104 1.485041
13 0 1.122802
13 8 1.125268
13 16 1.138527
13 32 1.191104
13 48 1.267281
13 64 1.368755
13 72 1.420777
13 80 1.454492
13 88 1.474597
13 96 1.490214
13 104 1.501942
19 0 1.122841
19 8 1.127349
19 16 1.146462
19 32 1.212410
19 48 1.302816
19 64 1.420382
19 72 1.459885
19 80 1.484430
19 88 1.501214
19 96 1.513332
19 104 1.520012
