# Tau Act n Variance
# (n=0 represents var_a0_sq)
0.1 0 0 1.1548256038928848e+00
0.1 0 1 1.2882345171365400e-01
0.1 0 2 3.4019180352410798e-02
0.1 0 3 1.3440130335481901e-02
0.1 0 4 7.9221266250262996e-03
0.1 0 5 5.0181818835406001e-03
0.1 0 6 3.6032986344881001e-03
0.1 0 7 2.6357388583400998e-03
0.1 0 8 1.9841955948983001e-03
0.1 0 9 1.6055986662085000e-03
0.1 0 10 1.3014177724043001e-03
0.1 0 11 1.0818267346209001e-03
0.1 0 12 9.3298592831920005e-04
0.1 0 13 8.0040612274649996e-04
0.1 0 14 6.7574509001379996e-04
0.1 0 15 5.9843499444160004e-04
0.1 0 16 5.3802966477099995e-04
0.1 0 17 4.8204906338089999e-04
0.1 0 18 4.3417663526959998e-04
0.1 0 19 3.8994120756359997e-04
0.1 0 20 3.6851242017529997e-04
0.1 0 21 3.2404081061740002e-04
0.1 0 22 3.0653475143539998e-04
0.1 0 23 2.8611562926780001e-04
0.1 0 24 2.6375250949250002e-04
0.1 0 25 2.4743016012390001e-04
0.1 0 26 2.2979089766990001e-04
0.1 0 27 2.1627005611440001e-04
0.1 0 28 2.0404038849199999e-04
0.1 0 29 1.9745119686869999e-04
0.1 0 30 1.8575891347899999e-04
0.1 0 31 1.8005985312019999e-04
0.1 0 32 1.7116450145559999e-04
0.1 0 33 1.6439260440430001e-04
0.1 0 34 1.5608358730150000e-04
0.1 0 35 1.5159902944300000e-04
0.1 0 36 1.4442131396070001e-04
0.1 0 37 1.4175614198070000e-04
0.1 0 38 1.3477605462900000e-04
0.1 0 39 1.3170253558720000e-04
0.1 0 40 1.2846164100159999e-04
0.1 0 41 1.2420233261770000e-04
0.1 0 42 1.1988787715150001e-04
0.1 0 43 1.1815609776680000e-04
0.1 0 44 1.1523255977200000e-04
0.1 0 45 1.1235835048750000e-04
0.1 0 46 1.1005550275679999e-04
0.1 0 47 1.0761978371360000e-04
0.1 0 48 1.0502677134009999e-04
0.1 0 49 1.0351509538940001e-04
0.1 0 50 1.0326038920200000e-04
0.1 0 51 1.0148085561220000e-04
0.1 0 52 9.9874751802021976e-05
0.1 0 53 1.0019139180900000e-04
0.1 0 54 9.8574037571291274e-05
0.1 0 55 9.7018091795548320e-05
0.1 0 56 9.8163128419361857e-05
0.1 0 57 9.8024851619125475e-05
0.1 0 58 9.6323591448897744e-05
0.1 0 59 9.2422162699831801e-05
0.1 0 60 9.4383092461295762e-05
0.1 0 61 9.4602316785699221e-05
0.1 0 62 9.5476643625757961e-05
0.1 0 63 3.1376583606267801e-30
0.1 8 0 1.1255202890855649e+00
0.1 8 1 1.6491472638634791e-01
0.1 8 2 4.2486132959954903e-02
0.1 8 3 1.9419830514041499e-02
0.1 8 4 1.1323206897498500e-02
0.1 8 5 6.7109497783277997e-03
0.1 8 6 4.5806400974324002e-03
0.1 8 7 3.1455666822658998e-03
0.1 8 8 2.3908745070780999e-03
0.1 8 9 1.8225212648836000e-03
0.1 8 10 1.4557936364928000e-03
0.1 8 11 1.1654180747777000e-03
0.1 8 12 9.8600705243980001e-04
0.1 8 13 8.4512895605189998e-04
0.1 8 14 7.2573179390450005e-04
0.1 8 15 6.2651354485529997e-04
0.1 8 16 5.5670600879869996e-04
0.1 8 17 4.9063258894669996e-04
0.1 8 18 4.4145835992630001e-04
0.1 8 19 4.0394482952480003e-04
0.1 8 20 3.6150237720359999e-04
0.1 8 21 3.3866403802050002e-04
0.1 8 22 3.0742067946009998e-04
0.1 8 23 2.9004369996990000e-04
0.1 8 24 2.6489819929870000e-04
0.1 8 25 2.5157996319080000e-04
0.1 8 26 2.3300451234990001e-04
0.1 8 27 2.2151862807819999e-04
0.1 8 28 2.0721041750759999e-04
0.1 8 29 1.9809212217800000e-04
0.1 8 30 1.8548739494700001e-04
0.1 8 31 1.7669436128950000e-04
0.1 8 32 1.6742759547390000e-04
0.1 8 33 1.6190566413680000e-04
0.1 8 34 1.5809464807520001e-04
0.1 8 35 1.4961408488890001e-04
0.1 8 36 1.4568254708900000e-04
0.1 8 37 1.3957279317360001e-04
0.1 8 38 1.3526897234690001e-04
0.1 8 39 1.2988784379639999e-04
0.1 8 40 1.2842534982230000e-04
0.1 8 41 1.2423811699529999e-04
0.1 8 42 1.2178248505600000e-04
0.1 8 43 1.2123087385570000e-04
0.1 8 44 1.1641438018580000e-04
0.1 8 45 1.1327909775360000e-04
0.1 8 46 1.1197047913440000e-04
0.1 8 47 1.0911639728749999e-04
0.1 8 48 1.0624423917890000e-04
0.1 8 49 1.0544072843279999e-04
0.1 8 50 1.0479724397719999e-04
0.1 8 51 1.0171054042340000e-04
0.1 8 52 9.9373619514642981e-05
0.1 8 53 9.9031516973956165e-05
0.1 8 54 9.7138072992932639e-05
0.1 8 55 9.8413171015776242e-05
0.1 8 56 9.6690371472376240e-05
0.1 8 57 9.5263359095759393e-05
0.1 8 58 9.6251167327549803e-05
0.1 8 59 9.5441110189721181e-05
0.1 8 60 9.6859854822511647e-05
0.1 8 61 9.6345560009679755e-05
0.1 8 62 9.5404832766433757e-05
0.1 8 63 3.0785419241214113e-30
0.1 16 0 9.3598248714421683e-01
0.1 16 1 4.0650873981663260e-01
0.1 16 2 1.2032555780523650e-01
0.1 16 3 4.6672239843960801e-02
0.1 16 4 2.4197894509875702e-02
0.1 16 5 1.3926651206469401e-02
0.1 16 6 8.6547002343333995e-03
0.1 16 7 5.6199442713885002e-03
0.1 16 8 3.9972136498052004e-03
0.1 16 9 2.8874775235806002e-03
0.1 16 10 2.2044233491079002e-03
0.1 16 11 1.7025796171767000e-03
0.1 16 12 1.3842471577078001e-03
0.1 16 13 1.1205512023272999e-03
0.1 16 14 9.2713875981220001e-04
0.1 16 15 7.7756858812300003e-04
0.1 16 16 6.6738087048710002e-04
